id;contacts_file_type_name;contacts_file_medium_type;description;file_template;file_template_content_type;contactsfile_type
1;Pizza;HTML5;firewall payment;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
2;turn-key Manager;EXCEL_XLS;productize invoice optimal;../fake-data/blob/hipster.png;image/png;CONTACTS
3;one-to-one;PDF;Hawaii efficient payment;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
4;JBOD Data;JSON;Liaison Florida Car;../fake-data/blob/hipster.png;image/png;CONTACTS
5;Small;EXCEL_CSV;synthesize;../fake-data/blob/hipster.png;image/png;CONTACTS
6;Incredible transmitting magnetic;EXCEL_XLSX;Jewelery Wooden;../fake-data/blob/hipster.png;image/png;CONTACTS
7;hybrid Assistant;EXCEL_XML;calculate invoice;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
8;Savings Account;EXCEL_XLSX;auxiliary system Checking Account;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
9;Awesome modular;JSON;navigating foreground override;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
10;Netherlands Antillian Guilder;PDF;Generic Metal Pants;../fake-data/blob/hipster.png;image/png;CURRENCY_LIST
