id;description;time_sent;token_value;received;actioned;content_fully_enqueued
1;circuit whiteboard IB;49154;Kazakhstan Kansas Azerbaijan;true;false;false
2;Baby interactive;51536;Keyboard e-enable Ball;false;false;true
3;frictionless Viaduct Automotive;98936;Kansas Colorado olive;false;true;false
4;groupware;35064;Product multi-byte;true;true;true
5;Small Plastic Cheese;35746;Facilitator Principal navigate;true;false;false
6;Optimized;7083;Infrastructure Personal Loan Account;false;true;false
7;New Mexico;86727;national;true;true;false
8;mobile;92019;Infrastructure navigate;false;true;true
9;orchestration optical killer;57339;Garden Kansas alarm;true;false;false
10;neural-net;23247;Toys input;true;false;false
